gene_symbol	GSM121470	GSM121471	GSM121472	GSM121473	GSM121490	GSM121491	GSM121492	GSM121493	GSM121494	GSM121495	GSM121496	GSM121497	GSM121498	GSM121499	GSM121474	GSM121475	GSM121476	GSM121477	GSM121478	GSM121479	GSM121480	GSM121481	GSM121482	GSM121483	GSM121484	GSM121485	GSM121486	GSM121487	GSM121488	GSM121489
ZZEF1	101.0506433	82.61095929	90.68893605	73.78853262	54.57996657	51.82094341	96.82436224	84.02141988	67.42355745	72.12286472	93.91011825	67.27461808	78.82054859	64.79038186	104.2638459	80.79780941	92.78378849	80.58393248	125.6484118	99.85982664	106.9274497	90.85320096	67.14750972	66.91069858	83.64770278	79.28042971	85.6344234	82.46028372	102.3363061	76.20163761
ZXDC	54.05922311	47.6699455	73.40753136	72.74222968	60.75092929	61.90241521	79.75859681	61.21560591	149.2046488	110.7459125	51.1094073	55.36832983	64.55374181	56.11142315	52.54778257	53.25112177	59.15106176	36.22265534	64.81380069	52.751272	69.75928856	68.26551194	68.94814076	46.05976657	77.94810953	67.19294488	39.40442591	39.34732653	46.31194644	43.5683923
ZW10	24.50083898	17.55456301	43.90024118	30.41627795	30.09006854	51.28626254	42.12456533	10.26917744	15.09036291	39.55962298	1.771337878	18.86778632	56.20570942	34.5614642	63.49676561	23.4531985	32.34180078	32.03892451	12.3736266	35.73981334	37.5214676	26.90871504	57.9797419	35.73393452	25.14636927	22.95669502	47.10844943	45.20806507	53.61072657	27.31543862
ZSCAN18	457.7453071	350.8228882	243.9065605	255.9786917	723.1698504	915.6549623	404.4934727	374.7936182	511.1334639	585.4646744	242.0236429	249.5004181	294.3663568	276.4288561	223.583002	213.9829263	250.5271325	115.0014453	308.3344781	305.0712041	308.932625	278.651149	393.7288423	284.7004162	272.8680267	233.6658809	162.1344107	138.6958488	173.1984317	181.9037174
ZNHIT3	7026.192071	5488.651759	9123.680426	7913.861221	13151.50741	13988.72155	19699.30626	15441.40502	20124.88852	12014.99164	16389.47781	12765.19549	15013.70008	13548.23725	14314.85356	5635.257252	16305.08669	14673.25802	21099.25269	17454.34624	11493.32071	10867.20899	13399.11792	13608.17451	14964.06069	11375.89974	9495.990816	7436.963886	8695.930732	7491.011239
ZNF841	4149.368433	3190.863367	3838.273378	3308.266785	5752.892375	7085.820906	4457.483951	3137.877764	4238.568121	3723.869098	2460.447902	1938.45239	4043.606269	2981.034208	3270.678562	2499.690424	2673.051315	1886.360501	2909.871899	2422.402296	4128.881531	3763.233246	2399.439773	1649.269735	4270.389381	2995.083925	1976.822862	1799.445846	2885.637259	1985.923695
ZNF827	31521.79729	23598.51074	19223.52765	15097.40105	1310.849938	1823.519776	18671.9823	14795.01805	1223.84092	182.8260562	463.6102999	16327.66326	18202.69098	1785.807836	31103.19518	19340.21486	11938.02419	12039.43389	14488.10705	22329.3039	47858.98243	29882.74056	9359.756677	10507.92827	17607.77703	13114.12407	23751.70071	22933.78143	36059.4785	34421.67362
ZNF827	10.60727431	0	35.59073917	22.07002962	12.06410107	10.89805413	40.41287495	7.214379381	33.88430574	49.24413942	16.09744192	27.81210786	30.9092578	26.08124616	22.98094337	17.6797649	30.38185481	26.56426773	21.85365212	16.9841237	23.85735927	27.33140677	22.24147547	40.67953301	33.21005934	28.2510912	21.50450352	26.3681991	26.28660581	14.53967936
ZNF814	81.84939062	57.47716762	83.06794392	80.76259622	53.21588968	68.54690249	84.34658316	56.15097072	50.79523944	60.76565779	63.71792118	16.47834967	80.14887574	85.29209934	80.73453639	55.04844227	60.85793778	66.87373349	71.72173635	46.76882009	90.08677312	69.51923156	44.95224131	47.67412544	63.57166376	47.49392697	69.52068663	53.30153562	69.72910718	66.19837294
ZNF789	9.996601561	0.196468514	74.184039	30.07685805	28.13830865	30.43662096	45.98021065	30.70139595	75.77715121	90.10839525	54.95236922	35.64058001	42.89285785	30.41194395	58.31571417	115.7520251	29.9712892	22.43976604	40.70956995	35.63177515	55.7530392	23.44264286	27.61015727	26.59215817	79.88822531	31.19346596	23.14720865	39.04718879	45.84600528	36.06124097
ZNF778	58.02910237	31.98385883	67.16936105	67.57840554	46.45491419	47.78579194	74.11986027	37.01072145	59.40187281	48.5704625	46.89839034	20.44049132	63.38810469	50.63634886	121.5172057	58.4358412	51.208973	26.59522842	35.55497692	19.13447413	86.08316466	53.64277067	46.16517641	16.64609032	93.59918186	69.86295207	36.70611436	21.65384035	49.74717721	38.04510845
