gene_symbol	GSM121470	GSM121471	GSM121472	GSM121473
ZZEF1	101.0506433	82.61095929	90.68893605	73.78853262
ZXDC	54.05922311	47.6699455	73.40753136	72.74222968
ZW10	24.50083898	17.55456301	43.90024118	30.41627795
ZSCAN18	457.7453071	350.8228882	243.9065605	255.9786917
ZNHIT3	7026.192071	5488.651759	9123.680426	7913.861221
ZNF841	4149.368433	3190.863367	3838.273378	3308.266785
ZNF827	31521.79729	23598.51074	19223.52765	15097.40105
ZNF827	10.60727431	0	35.59073917	22.07002962
ZNF814	81.84939062	57.47716762	83.06794392	80.76259622
ZNF789	9.996601561	0.196468514	74.184039	30.07685805
ZNF778	58.02910237	31.98385883	67.16936105	67.57840554
ZNF76	62.72713039	23.65420146	72.57880528	68.16441255
ZNF706	202.0709049	128.0458223	162.4187081	144.8916833
ZNF664	309.0682654	241.0638286	260.343767	219.4857338
ZNF664	147.9630711	117.3636064	84.96424713	94.62465969
ZNF652	869.3792513	731.2963185	502.2418513	426.8945014
ZNF623	125.552495	84.78932926	137.6207481	112.3586242
ZNF623	125.4633753	43.15420785	127.9535665	88.79263285
ZNF609	66249.89187	65653.55828	27372.08371	20159.58198
ZNF587	32.70998215	28.33703863	22.86104238	24.40438757
ZNF587	140.1529413	97.60839344	97.68620785	87.59644362
ZNF585B	207.2236462	192.4844567	248.0376198	194.3899353
ZNF577	75.56543634	44.90115727	58.77572931	48.49449745
ZNF555	34.53997496	29.46318805	57.90445487	39.81946631
ZNF514	61.53717934	36.46516385	77.83642921	69.38090895
ZNF511	0.63599086	0	0	0
ZNF438	249.7843976	210.4096768	240.2338631	215.648645
ZNF35	136.0159625	99.16697614	67.97294492	70.30246782
ZNF33B	111.1525682	87.26746562	123.7277404	107.7353577
ZNF282	41.79715729	30.62275737	27.27060006	16.20222347
ZNF280D	55.56716959	35.70359518	51.02032303	42.51451834
ZNF280D	9.559104664	1.85834909	31.27401428	15.5156476
ZNF276/ FANCA	70.23141745	9.370737944	90.03040343	71.21145559
ZNF273	1078.939252	841.9779699	766.7244136	721.8532962
ZNF273	1284.054407	1047.269338	194.3077396	151.3319583
ZNF263	32.87404349	37.53156254	22.41235054	21.47628654
ZNF24	77.77925166	66.57649545	107.3379173	82.46066273
ZNF22	38.79848064	32.97835409	54.72976674	33.8859036
ZNF197	97.36939051	66.81853656	98.57972349	86.43893473
ZNF195	485.9375261	366.6669599	172.7821356	152.2593193
ZNF14	159.6681385	0	1.556883306	0
ZNF12	106.1233794	59.79529354	87.45235939	65.80394538
ZMYM3	14.67336238	0	60.4476866	71.42419741
ZMYM2	63.69225665	67.13248109	73.75662134	54.37390769
ZMIZ2	52.44696603	15.14833007	53.20769573	2.698920066
ZMIZ2	46.23896607	23.73927031	62.951271	55.03437434
ZMIZ1	23.58432349	20.26562596	21.57878942	25.65376224
ZKSCAN5	156.4365353	123.2282928	118.6548151	100.2159015
ZKSCAN5	44.29656086	15.20402991	68.93995318	67.91975946
ZHX2	41.64221047	24.56767878	25.32594644	19.73663867
ZFYVE19	953.1690217	785.9834307	496.2164228	380.4655336
ZFP36L2	64.22191146	55.37475198	99.05162352	79.59638425
ZFAND6	28.07170486	20.77705173	87.87881004	40.61724813
ZFAND2B	50.09339475	33.43002913	67.42465123	52.2687307
ZDHHC20	32.69884218	26.75313782	139.0770626	59.88972283
ZDHHC20	87.12669694	39.37472077	77.72522326	66.55240978
ZDHHC17	62.12759761	17.22238944	79.13802234	58.20422743
ZCCHC7	216.6429949	150.9364296	115.4598198	128.1450342
ZCCHC6	272.3205514	235.6254992	273.0724968	233.4038837
ZC4H2	104.7501252	51.26916767	44.77828469	36.11389064
ZC3HAV1	174.3323864	155.7154756	249.0587805	228.9691838
ZC3H11A	462.7025925	263.4946592	203.596821	184.5332201
ZBTB7C	44.76545221	0	28.28305771	22.13095114
ZBTB48	490.059314	346.4448811	326.6379855	246.4033758
ZBTB46	81.53747153	63.34387949	54.01901566	67.63352502
ZBTB32	2.681693945	0	63.98887087	52.11304237
ZBTB17	43.01749007	24.21727618	55.58170102	50.82595437
ZBTB1	103.5530851	86.97681374	79.27920554	59.53869883
ZBED4	478.5537532	340.281441	205.0086531	217.3351074
ZAP70	35.50611394	22.48146673	44.26867133	39.08357302
ZAK	31.63851984	29.19380338	68.07061275	21.67645725
YY1	3092.834693	2370.114124	2235.793699	1688.206896
YWHAH	237.0929367	143.287323	123.3757494	90.7063422
YWHAE	3680.069967	2811.646727	2756.561494	2677.351913
YTHDF3	161.8242286	112.6908964	83.661687	90.81561414
YES1	127.6873179	90.33804569	154.6265555	85.3703906
YEATS4	2625.785488	2447.773874	5309.594825	4595.835388
YARS	104.7167053	75.97356423	65.74399087	55.66776475
XRCC4	6744.411662	4232.683235	2043.34745	1909.863563
XRCC3	51.34613471	25.31000569	69.93113665	36.45524456
XRCC1	34.57643304	0	45.40877408	69.3518987
XRCC1	710.195195	572.759393	167.1918609	161.6499365
XPR1	38.8886131	48.85584566	53.00752502	39.93067226
XPO1	161.521424	124.2946915	64.13972416	53.3101986
XPC	49.87667175	0	46.27424647	30.59614148
XPA	59.50767984	28.25399523	64.25963318	39.27794168
XG	102.5758061	74.08584613	62.27436521	54.94637659
WWP2	83.17605945	29.10569637	68.83938432	50.66446399
WWP1	34.19362325	19.98611405	12.64943511	15.13561335
WWC2	212.9718693	179.1883994	145.4525481	142.1473138
WTAP	116.8106589	0	109.5552673	75.96140019
WRN	31.98790973	31.46635671	55.26452231	52.35962948
WNT9A	19.93750329	32.82948362	64.19484363	45.6456911
WNT5A	203.2912377	173.0715446	171.0840691	141.0333203
WNT4	27.06708235	0	57.65399973	42.23795398
WNT2	10310.15113	7067.947706	3212.511693	3125.948981
WNT16	11.03464397	0	32.21974836	28.80717619
WNK1	780.3901544	495.9047587	735.5596713	643.4647052
WLS	136.8605746	55.56514414	159.3987413	150.7884997
WIPI1	35.64080627	31.57876911	51.61793414	42.591879
WIPF2	58.92536337	42.56986593	52.9233953	45.65826221
WIPF1	9312.654154	7153.942177	4172.261593	3668.722017
WFDC2	7.70683192	15.55443252	19.37110955	16.27861712
WDR89	327.6163109	228.2923625	132.5565259	139.5760389
WDR60	75.94520795	51.44335624	127.9506655	100.7564591
WDR60	56.44520156	41.95919318	62.8816464	45.5054749
WDR37	572.3593669	446.5597672	623.2310243	542.1889627
WDR37	36.63732699	8.780319677	57.43062082	35.63232052
WDR37	0	0	20.03544423	19.18157593
WDFY3	104.618471	67.14767196	146.2512969	114.6214236
WDFY3	37.02013677	21.68040181	66.76998664	45.73852389
WDFY3	110.0426224	36.23122454	35.28323054	31.21115874
WBP11	316.7902881	207.3269441	276.5411554	250.0635021
VWF	42.61543853	17.07149352	38.08175246	34.20501633
VWF	103.6968919	77.62025394	45.33044641	53.27925434
VWA5A	43.04685908	20.39829284	73.88716746	40.44125262
VTI1A	24.48058449	7.697717401	65.52157897	66.60366121
VTI1A	47.95249558	45.41865939	28.43874605	27.3924431
VTA1	1202.874427	681.4429394	647.1190295	567.260586
VSIG10	53.75945672	27.04682787	69.12271774	45.56252839
VRK2	66233.68828	66207.35745	63271.83424	62927.14995
VPS53	208.6880455	177.9538885	254.8095787	208.9414757
VPS53	67.82012089	45.24143263	31.39682433	27.13135087
VPS35	270.8936229	201.8015203	192.1000597	164.7994824
VPS25	92.91340359	41.21787899	48.77106181	48.6878991
VPS24/RNF103-VPS24	57.7303487	35.80689306	86.66618167	64.3911463
VPS13A	1831.642537	135.3830098	116.890025	90.52551166
VLDLR	60444.42653	38995.15069	29617.71865	18515.82459
VIPR1	13.78824134	14.63386613	35.4892033	30.03044165
VIM	3766.844236	2698.317815	1560.341327	1307.72589
VHL	2071.07588	1433.210467	450.7022448	431.9316474
VEGFB	43.50663591	39.58638015	25.48260178	20.48123504
VEGFA	61.36501621	77.98280924	85.95446359	90.69377109
VCL	125.4775534	82.54817038	195.0078536	153.9380456
VCAM1	168.4950435	113.614501	111.9186355	93.93711681
VAV2	22.8511111	15.34277314	78.18261817	60.78517249
VASP	58.37140318	24.68312935	62.95513903	43.08118518
VAMP3	135.6918907	113.2185258	62.02391007	49.95081189
VAMP3	2903.813753	1532.568848	941.0547295	795.4900085
VAMP1	34.97645913	15.83394442	67.21771146	45.6108788
UVRAG	30.71288983	32.29273974	27.88948535	23.06604813
UTRN	65.12526153	54.75597743	46.26457639	40.41417639
UTP6	46.09212105	0	34.55990836	26.49602644
UTP20	34138.23432	26238.84402	31467.79886	26875.94755
USP9X	334.5737268	242.2720087	91.42676336	88.24143814
USP8	87.85484571	73.03970193	92.93819728	63.33614029
USP7	109.8643829	66.78106576	112.1884308	102.4690307
USP6	13.18769583	29.34773748	73.98870333	49.35223378
USP54	168.3016132	136.7147423	241.8777772	173.5538082
USP54	118.1920148	71.10641125	77.70491609	56.67828839
USP54	649.9218956	381.9864404	235.2276613	238.940006
USP5	42.69848192	0	82.2701621	99.75850656
USP5	113.5253813	85.40304018	120.6033367	101.097813
USP40	11.14806909	25.05986279	29.74517421	31.81167087
USP4	43.42966886	37.98222486	84.17903642	46.80223299
USP34	7.613661284	8.443082485	23.99534307	22.31178168
USP32	963.1392924	800.0238404	238.5087204	176.2411242
